t,residual_norm
0,0.030887359330815357
1,0.0049509269903988
2,0.031193268192401525
3,0.048029071457884605
4,0.045009677976344684
5,0.011773531525702347
6,0.013862917378293581
7,0.04299261568537079
8,0.0015600558541546
9,0.01359282537449761
10,0.02841802130305939
11,0.02380476747321914
12,0.00565338813377677
13,0.00707142621595684
14,0.01555247005793432
15,0.046529696487660296
16,0.00945395547312977
17,0.03230022163344547
18,0.06589319850630405
19,0.027652756313445426
20,0.04656485394469165
21,0.025870757486623645
22,0.04312619085966083
23,0.032713427023087584
24,0.0705510266013822
25,0.029384262227758244
26,0.01058137523443895
27,0.038240588985804555
28,0.006267327367613411
29,0.0034640052793861033
30,0.03915654343368602
31,0.1040506682208441
32,0.01617379804672663
33,0.009057376848627193
34,0.036488623079752834
35,0.026731265148747217
36,0.004224505673004909
37,0.050255372180438955
38,0.03887117804144915
39,0.03679972162329206
40,0.020989991335599947
41,0.07120527565283762
42,0.022032013401557065
43,0.011885524213198512
44,0.05340979787356977
45,0.0011135738673153795
46,0.05410410372842634
47,0.00018159594478807557
48,0.10041250294512241
49,0.04168955689457763
50,0.08158289485746027
51,0.019704345791448002
52,0.05562257313080754
53,0.027143836615833705
54,0.08772751252785702
55,0.027517509413367655
56,0.003608378431177979
57,0.058450831939944936
58,0.026561691864620287
59,0.025412527954142332
60,0.021127125509908563
61,0.049614668556324244
62,0.011688770868588393
63,0.08694298291722717
64,0.06624407693067275
65,0.0796826798031752
66,0.008368866877696661
67,0.023061822958791344
68,0.09323442849124192
69,0.07766071054345022
70,0.07729178125493537
71,0.09351586658739665
72,0.11701510084090283
73,0.05941372776028509
74,0.033864408497124014
75,0.07389951085491145
76,0.0055248773833985135
77,0.013545416775269697
78,0.006948706667280987
79,0.06201122749271067
80,0.04300143621581332
81,0.04038451328275705
82,0.014609645537369131
83,0.022998218405480626
84,0.12017100132335493
85,0.061096297403377235
86,0.010730931298636325
87,0.016739164990538877
88,0.0629659363610155
89,0.021605932745336367
90,0.03449698072295068
91,0.11108765888545014
92,0.07620938970889171
93,0.04487817947078488
94,0.020534872259278452
95,0.04308582955923584
96,0.029563510888209004
97,0.0629431085001542
98,0.019827940991992043
99,0.09059171501101065
100,0.06624223756130218
101,0.031739862940154136
102,0.1759733069806964
103,0.0068543586658870595
104,0.017403142056710195
105,0.10773316878444766
106,0.0754645227158747
107,0.11424775194519074
108,0.07933505727108822
109,0.03626079446491585
110,0.0082754649239009
111,0.03574114372010745
112,0.017960817655695394
113,0.05283699218060968
114,0.012449615119467164
115,0.08494521097335081
116,0.004367832466799585
117,0.10428814332242568
118,0.000972538884174574
119,0.09441880761071739
120,0.0048621711073616606
121,0.06317944141966605
122,0.05259317099327617
123,0.040453556836204475
124,0.08119595082182789
125,0.0033606621600764395
126,0.03715388763844452
127,0.008171621085503449
128,0.010069471451405635
129,0.0035873250818231226
130,0.01554599337794532
131,0.06873370879126625
132,0.016548221102421174
133,0.012758978754877033
134,0.004218857660384752
135,0.006117226560773159
136,0.1010111507061954
137,0.11561641985519724
138,0.020785283412092383
139,0.02774368984079073
140,0.08712973589313923
141,0.012644621088644229
142,0.04946362890226585
143,0.020951247580457508
144,0.00923982606066482
145,0.03124481464388163
146,0.06313929225522807
147,0.020399428819853706
148,0.031085343022904437
149,0.014286060212720322
150,0.10886156310748803
151,0.040013672418694475
152,0.01271202962215045
153,0.05286305803432578
154,0.006904567331186588
155,0.025627296462973237
156,0.027032090733786016
157,0.041565295457909546
158,0.024614076285900403
159,0.1327481360991683
160,0.07631624752252811
161,0.10323117701677822
162,0.01425527868267432
163,0.019056753749376435
164,0.07296274054761956
165,0.02016552031980927
166,0.04017896144111435
167,0.09718069413472649
168,0.04998658871371407
169,0.013757727662358594
170,0.029896613473328556
171,0.06705898879413623
172,0.05036515201794618
173,0.01880267913199365
174,0.01818422901372616
175,0.023311438786344063
176,0.0023718476126540493
177,0.036918621726093004
178,0.020399609580531587
179,0.017798985799074837
180,0.02543866594040879
181,0.019031574004560813
182,0.002374109255901457
183,0.0031181187162063312
184,0.026287006262208874
185,0.019240518488209266
186,0.014390909291602643
187,0.04083873133642336
188,0.035171793942832805
189,0.06074776642517435
190,0.07812915075530835
191,0.05989178526413
192,0.05473266205704954
193,0.020531818901067953
194,0.06372077185160546
195,0.014465532968669178
196,0.04428934399912533
197,0.03329323036919904
198,0.013088699801144434
199,0.04131207360600765
