t,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
0,0.03823721086084463,-0.07778575310101345,-0.05260335849651638,0.005825645905986186,-0.012463483852591163,-0.0013137621429425666,-0.03549889924720753,0.035923834727658255,0.030773421375348012
1,-0.033744241205022715,0.015012463097440107,-0.03886266715110775,0.035850057178156605,-0.001802224342500952,-0.00804626976895211,-0.028614343893933792,0.04963910089142683,-0.006526241105893343
2,0.015229970142489018,0.016762384604316626,0.01671997678762111,0.08637792145419723,-0.016067142887209004,-0.02113407480706402,-0.033928041748113695,0.0253843107724532,0.04482046610890422
3,0.026619737147291704,0.029981488064218777,0.02120905292549998,-0.02590838233517218,0.009471769251511648,0.004023175345394507,0.0073704971679903345,0.03560226465352469,0.008620666839684581
4,0.02587314364656104,-0.058024140893118484,-0.013299492362997947,-0.018102860273038344,-0.025365453175300947,-0.011653500097276514,0.058420514032708294,-0.03389169638329777,0.03839198392070328
5,0.024047523364205122,0.02869302181015074,0.031221908413639737,-0.013237018698172195,-0.01830373880707419,0.03367545923192133,-0.0090292696878726,-0.05028155139866733,-0.045664966841485
6,0.02823055648926189,-0.016837515255466676,0.005832207918558433,0.02573562681616589,-0.012181001990420093,0.01762276431271217,-0.027854156582995403,-0.013781090665701469,-0.015607416353080243
7,0.001102082108867836,0.01947963101489869,0.01735125947251855,0.027327402466549303,-0.0037471460845162454,-0.017580638884894702,-0.004565807429398286,-0.0667528574996013,-0.058216010030722
8,-0.03562060058202868,-0.014882416620524289,0.05145436430876754,-0.013538570743107036,0.02968823551808095,-0.037985322378947785,-0.009594605889841606,-0.03725187832339264,-0.01389452393234435
9,0.010119173420842663,-0.023509895335322918,-0.058362346448715255,0.0035972125312776805,-0.02099724563622745,0.008667488172037474,-0.0005030318659321546,0.06482128450044436,-0.009906820706425856
10,0.054976072669871354,0.03365513767547839,0.013764367952513531,0.059244121527433184,-0.04735872862266572,-0.026236633089802557,-0.038440154247165174,-0.014849586270045753,-0.0554045517311147
11,-0.040023235560443696,0.012798642154718673,0.03300879791603064,0.08058125948125022,0.11674064085344846,0.015927623345768832,-0.040958552592413794,-0.08454145960058054,0.010388046681712046
12,-0.0050352690389007145,0.04288773724552594,0.005767620029178009,-0.005633397507401095,-0.041238104563758135,-0.06763248709819163,-0.020829375109495892,-0.0014071222973084038,0.07039077934236342
13,-0.046781405919110376,-0.03834377046572133,-0.029518428184924273,0.08585082413384545,-0.03266262194029564,0.032887112211334606,-0.03749418897229545,0.03799956466927233,0.015063110056895498
14,0.018446951336150902,-0.017944813945584122,-0.049537760711435806,-0.05040548790042786,0.007092327513126853,0.06251599670266836,0.0050225943328675235,-0.004003927760045401,0.011104625333377766
15,0.04487172472334163,0.017416298395351616,0.06091657579988439,0.008041432872531847,-0.04879009782345865,-0.05537647665911705,0.0646600106441898,0.06968572951347785,-0.007514386869306649
16,-0.03517935406987163,0.0259915053971855,-0.01629192083991782,0.0005071471281184082,-0.006343234562183122,0.012848082912891119,0.054922205602448246,0.004357441426970818,0.02542700530507866
17,-0.04816524390996536,-0.034884943669281465,-0.013876758114812178,0.03734807018323872,-0.05286521062048242,0.0005794409301117923,-0.020743815151865408,-0.012363455018614206,0.039785864361090974
18,-0.027211570143000113,-0.008688695016200863,0.009192003805457576,0.0077749866371706845,-0.04318120496474102,0.002965519892523116,0.007751998836949327,0.10143397106999381,0.07473338892848773
19,-0.02304035512410394,0.012871754165591217,0.04771919980135265,-0.028451365588294912,-0.02597841404869991,-0.08653839703353948,-0.007883647094053798,-0.0417542113083596,-0.02149613280544859
20,-0.05809565870924748,0.08541764155698953,-0.05201143777411243,-0.04315943663413936,0.0736643862410512,0.11555460244674681,-0.04823966126389836,-0.013988917746260784,0.013345715893268046
21,0.0317088765261759,0.017654929463085115,-0.015565110575862047,-0.004640864314619951,-0.054812241942053676,-0.010171763297274497,-0.012032599391243865,0.010031411816175631,-0.02254331690661967
22,0.014696557504507074,0.002390532836985839,-0.0005053286118759139,-0.028150271135397812,0.012853272420728085,-0.004543563880015681,0.0823495865010469,0.06367127971848784,0.015091957765507839
23,0.011120465514352043,0.019454350347356306,-0.07029816587288938,0.037809547486040714,0.018364456794009915,-0.045056875302211974,-0.020238147795130407,0.011298783814615002,0.0017575635917048255
24,0.006709341578948152,0.059113589176008105,-0.10317941819561546,-0.008761995309699983,0.0072497452521439265,0.01119307167059103,-0.016253674795274686,-0.06952622523923065,0.012787857316468275
25,-0.012518157849614438,-0.0021893347666092,-0.04263551204645747,-0.012666186997719448,0.05218468392076053,0.022665369079112117,0.06791530716013057,0.04784532940197169,0.017224774241062717
26,-0.011224096591572022,0.00293357451569027,-0.028408433930072172,0.04029543884645028,-0.046941366077601694,0.030644055765228995,-0.009003233269440712,0.0475892725317743,0.029687422892687085
27,-0.0020622862931613424,-0.046610269837416535,-0.021244918608632046,0.061161198948892014,0.025689956273332495,-0.02861176149860819,-0.041925748119887654,0.002045675769143552,-0.048987460119459446
28,0.024972938617980948,-0.09139657723341438,0.011665683006269084,0.0035933684597752296,0.016748846699929442,0.06400205868353039,-0.08390671070391574,-0.02290097911470188,0.023288917389622656
29,0.034479814906243744,-0.022585414102114048,0.03204623090954989,0.04345087118751248,0.009512922243329,0.008724312193735841,0.009436585990562265,-0.033796338613526294,-0.0062450062674268576
30,-0.04171603103355456,-0.004741707635147093,0.05874876299313444,-0.029031492117322723,-0.03269723118865182,0.007444825293693968,0.03239823006624202,0.001199055468977396,0.05281172948618945
31,0.0937383184641184,-0.00793961042008329,-0.08065015104014191,0.06488223618933762,-0.0181150225331329,0.003664010679138782,0.05100485608762184,-0.06335232704876426,-0.0504113765482946
32,0.02156600554517685,0.011294014058549613,-0.05702421226512838,-0.09169215338642749,0.002362919043819402,-0.01951223424235598,0.016998324539799964,0.028826549807013217,0.005195444345057238
33,-0.027560762808371202,-0.00692079896106473,0.0073593205212918,0.03353319119279365,-0.015559091603693764,0.020198368162520224,-0.012010708627209953,-0.003960643983164229,0.032838406503457714
34,-0.09277401043230164,-0.02689502637646926,0.02945942326629137,-0.010683411803418443,0.008096148026895324,0.04292769667887097,0.05173046497847678,-0.002017111760184543,0.053830902199522586
35,-0.058621333139020494,-0.03527226913769688,-0.014837669837255315,0.032855413940047755,0.06901621887148875,-0.0559314495598634,0.014336036034373932,-0.040876547948121816,0.018662219125211824
36,-0.02359333916409867,-0.02110633374531274,-0.043308832584873024,-0.025459317986299284,0.017299350175682102,-0.008207157343318236,0.011769345302259763,0.01522930276749603,0.052490529159276364
37,-0.012650086670558473,0.04483355248845022,0.01481823178577434,-0.004533488106928632,0.014136604034685524,0.07740190773436455,0.08170207456219278,0.00352642746117051,0.006068936162812274
38,-0.00041681418283530955,0.012817508497490238,-0.033851531651119406,-0.0628706537489136,-0.08273370934855107,-0.045339356796017014,-0.019724140681840797,-0.01098214425428155,0.07715338150742247
39,-0.01566599342320453,-0.011113621173821909,0.006895754101537541,0.025478890294677516,-0.013385191208452465,0.04191059017988715,-0.0470546575247867,0.000999624549982282,0.10357143659263188
40,0.02385821068019122,-0.0020071033108581653,-0.007323095879953185,-0.030467247404121604,0.017407422569607027,-0.03471533339128299,0.025246262140145307,0.0441467448382585,0.014318341821244146
41,0.03803272314137309,-0.07300010208053198,-0.013935156976914187,-0.07892045886948965,-0.05961102319288857,0.053905162345148604,0.034430300898734924,-0.028039306384806072,-0.060434083966976256
42,0.018006707201295533,-0.02214539468289754,0.018094891667697396,-0.06172635854849257,-0.011699027390050964,0.0033408422044032774,-0.004821242098078436,0.03238388730938149,0.01343237789909195
43,0.06577938955281261,-0.03854616946825429,-0.036022729616925556,0.054143417201485945,-0.007466302589039769,0.05550932809126852,-0.019078589871106166,0.05894787729238911,0.004917721320339807
44,-0.03702129612526147,-0.01767821530979837,0.017586435383389463,-0.06191831682847687,0.025694079522034945,-0.02220593796355212,0.044535383372415575,-0.09503647753602194,-0.031801707542995133
45,-0.006573566302479355,-0.00989304937100892,-0.006881283456516381,0.008847509419403998,-0.04015296793175432,0.02763277864946494,0.02512954544767631,0.016149887239238655,0.021929259745925574
46,-0.011652628017135201,-0.029874174897786498,-0.0417951401873572,-0.04906681602629716,-0.03535441957236227,-0.0034841401297695065,0.011994655499043433,0.002777739647455225,-0.030965383370473644
47,-0.025492652960648038,0.022202832110910085,0.007008212675910943,-0.05721303631615692,-0.002527686168339136,0.009829707636421521,-0.037364918180900465,0.008331181220020347,-0.05853091975746717
48,0.015168715883163705,-0.09612621042724609,-0.04676312746577702,-0.011039087356482848,-0.04269233026788176,0.027921204798460178,0.07851472481008834,-0.04633018394068304,-0.03383843499914013
49,0.010575955858333914,0.07311510513836302,-0.06657828042740284,-0.05053073117805545,-0.016749982929418906,-0.0214799446383818,0.031126979228474065,0.010398865934136373,-0.07132925214418184
50,-0.046781275303209455,0.023804678806887927,0.03519016862648715,-0.0036487557873186964,-0.025184443462767814,-0.15044208155729605,0.0346808520267573,-0.05835544880487284,-0.10954450128770002
51,-0.07749454775970252,-0.016251352581722084,0.08793927330501634,-0.10898601378218528,-0.013828498025794805,0.03722366705129107,0.06774540918375321,-0.02575213781568574,-0.05671867719035567
52,0.08592500108855566,-0.15772122882312986,-0.19008678900729087,0.05111283696986991,0.1796541490713297,-0.03864302684290473,-0.0738037651832116,0.045013714927788565,0.0935660512800089
53,-0.007253789256340466,-0.0603663680393073,0.1185544335867599,0.006709451001227065,0.05844367465169101,-0.0650498528483111,-0.0019336352023508535,0.013227881614360209,-0.11746313510948413
54,-0.05549131710483438,0.08079512902792796,0.00511553537801325,0.0177156015290482,0.016472146208996036,-0.0068462828941950535,-0.042862312840600436,0.08623197278413347,0.02766358440774406
55,0.11707735060916623,-0.021825055006591258,-0.09164233299714418,-0.02546606338332224,0.06042805107769844,-0.04830953229411056,-0.12412494628265539,0.05919313927410882,-0.030808820533101276
56,-0.005947301091200091,0.10003134160033929,0.06608835586089709,-0.014009801567305157,-0.09861005565767796,-0.0637980712492132,-0.03934437644395777,-0.014838894214977243,-0.028920176522997214
57,0.0011048717686089615,-0.05323848340536881,-0.05620826120369459,-0.008750285521705032,0.05648406264886656,0.07053609094327948,-0.09064176675445489,-0.05537338939049234,-0.05329867971244759
58,0.00892006406643353,0.07396254677668992,-0.05569871683125041,-0.03869655900128316,-0.10367216203165583,0.05191120708466056,-0.002307905941286978,-0.049678408873386835,0.11284902600893426
59,-0.015379270300000119,-0.030273304187241234,-0.0027843402851057773,-0.01273045625129123,-0.05415922144139946,-0.057833762380089374,0.06845077814217915,0.0555880598827827,-0.04134153372758727
60,-0.018503169276453485,-0.07174642700699799,0.09623388311607993,-0.02608408385395211,0.08541692655394209,0.06427038033436516,-0.052262626011480684,-0.09098103355372916,-0.025390441696952846
61,0.06853691635918295,0.05902467135688863,0.044212434894531576,-0.013649422118826783,-0.06547931650442845,0.10030956288431377,0.09210305601755042,0.03600299368591883,-0.05679134910942629
62,0.06655533177888187,-0.02996125180913838,-0.06630460731093492,0.0865084916964527,-0.0009645542337541023,-0.0010078440269329011,0.08675998682823134,0.042821254306392484,0.04563374454379427
63,0.09012094993694875,0.07800336662351101,-0.06066601362054709,0.019550366912268028,0.11478592122169899,0.0022925827962540987,-0.16274553542486805,0.0987373794101668,0.011527509338086446
64,0.05150334627821189,-0.008105141871544805,0.10764072680583989,-0.02590500951888096,0.0657248840480198,-0.017280292327315153,0.026736514258002823,0.010429333968479981,-0.061213056870919144
