t,residual_norm
0,0.030887359330815357
1,0.0049509269903988
2,0.031193268192401525
3,0.048029071457884605
4,0.045009677976344684
5,0.011773531525702347
6,0.013862917378293581
7,0.04299261568537079
8,0.0015600558541546
9,0.01359282537449761
10,0.02841802130305939
11,0.02380476747321914
12,0.00565338813377677
13,0.00707142621595684
14,0.01555247005793432
15,0.046529696487660296
16,0.00945395547312977
17,0.03230022163344547
18,0.06589319850630405
19,0.027652756313445426
20,0.04656485394469165
21,0.025870757486623645
22,0.04312619085966083
23,0.032713427023087584
24,0.0705510266013822
25,0.029384262227758244
26,0.01058137523443895
27,0.038240588985804555
28,0.006267327367613411
29,0.0034640052793861033
30,0.03915654343368602
31,0.1040506682208441
32,0.01617379804672663
33,0.009057376848627193
34,0.036488623079752834
35,0.026731265148747217
36,0.004224505673004909
37,0.050255372180438955
38,0.03887117804144915
39,0.03679972162329206
40,0.020989991335599947
41,0.07120527565283762
42,0.022032013401557065
43,0.011885524213198512
44,0.05340979787356977
45,0.0011135738673153795
46,0.05410410372842634
47,0.00018159594478807557
48,0.10041250294512241
49,0.04168955689457763
50,0.2065057155125224
51,0.26127828952727256
52,0.18423550833818345
53,0.2222962574833537
54,0.24642564260391286
55,0.2136449903362147
56,0.29921587521502485
57,0.19545369576218066
58,0.23663470387341579
59,0.16739232455760425
60,0.26453740925964364
61,0.19575339341948605
62,0.24527458331510166
63,0.2702854719379063
64,0.24515162634011015
65,0.1939266956050586
66,0.27363905877196815
67,0.21772422419476709
68,0.21155851675534296
69,0.23034063010256783
70,0.23360198127052428
71,0.24564778836099257
72,0.15286062797384492
73,0.2526566239286273
74,0.2286145534731775
75,0.24354608963786417
76,0.22965641193389075
77,0.26245636301572184
78,0.24831262572603033
79,0.2301622893681201
80,0.1916528100990507
81,0.26089290271601473
82,0.25701601925227363
83,0.23380831107777492
84,0.17389805891356327
85,0.22632158600888663
86,0.248261243445209
87,0.2155775623745888
88,0.2551281885490933
89,0.2123506152925639
90,0.19643431863891606
91,0.31103707913531947
92,0.25631373788943457
93,0.2708093187871544
94,0.2722280838480524
95,0.26848984013878163
96,0.21228506164989547
97,0.17089903492592146
98,0.24149183142441952
99,0.2817965351606129
100,0.2326683502913917
101,0.1933044583482595
102,0.22341672015338812
103,0.198076883411425
104,0.26095049292183137
105,0.29514488581386367
106,0.23611155890775418
107,0.282191016832482
108,0.18495698459307136
109,0.23768948538918316
110,0.18084452698693756
111,0.2462520494795733
112,0.2838109258522143
113,0.24764449482655415
114,0.2341599915023912
115,0.2032579652982434
116,0.21771374338352392
117,0.27959497153677676
118,0.2746313153126877
119,0.16360691851018608
120,0.25388508956104866
121,0.2642860856890594
122,0.18266919918726882
123,0.26662190492411564
124,0.1895772572359639
125,0.26815513496829796
126,0.20740221013626836
127,0.26678407252098996
128,0.21206501703849093
129,0.21684293649253822
130,0.21320906796304492
131,0.2769770425609559
132,0.20185255992723447
133,0.24874240798807493
134,0.26790364531677835
135,0.25015673597627247
136,0.16997798068747189
137,0.21339943582564633
138,0.27819600575532283
139,0.2127674232489125
140,0.21119376357506206
141,0.2494468276253048
142,0.19561083457696968
143,0.22379269921806366
144,0.17860157979437088
145,0.19807987299911567
146,0.2697419593587013
147,0.30233350603091635
148,0.24385769134164637
149,0.20358269601619852
150,0.10886156310748803
151,0.040013672418694475
152,0.01271202962215045
153,0.05286305803432578
154,0.006904567331186588
155,0.025627296462973237
156,0.027032090733786016
157,0.041565295457909546
158,0.024614076285900403
159,0.1327481360991683
160,0.07631624752252811
161,0.10323117701677822
162,0.01425527868267432
163,0.019056753749376435
164,0.07296274054761956
165,0.02016552031980927
166,0.04017896144111435
167,0.09718069413472649
168,0.04998658871371407
169,0.013757727662358594
170,0.029896613473328556
171,0.06705898879413623
172,0.05036515201794618
173,0.01880267913199365
174,0.01818422901372616
175,0.023311438786344063
176,0.0023718476126540493
177,0.036918621726093004
178,0.020399609580531587
179,0.017798985799074837
180,0.02543866594040879
181,0.019031574004560813
182,0.002374109255901457
183,0.0031181187162063312
184,0.026287006262208874
185,0.019240518488209266
186,0.014390909291602643
187,0.04083873133642336
188,0.035171793942832805
189,0.06074776642517435
190,0.07812915075530835
191,0.05989178526413
192,0.05473266205704954
193,0.020531818901067953
194,0.06372077185160546
195,0.014465532968669178
196,0.04428934399912533
197,0.03329323036919904
198,0.013088699801144434
199,0.04131207360600765
